Size,Instance_Name,Optimal_Cost,CW_cost,APX,Execution_time
small,A-n32-k5.vrp,784.0,843.688169346626,1.076132869064574,0.0030190999968908727
small,A-n33-k5.vrp,661.0,693.739847134346,1.0495307823515068,0.0014641000016126782
small,A-n33-k6.vrp,742.0,776.2559893244659,1.0461671015154526,0.0015417000104207546
small,A-n34-k5.vrp,778.0,807.3126474885153,1.037676924792436,0.0015798999957041815
small,A-n36-k5.vrp,799.0,830.891740485609,1.0399145688180338,0.0018688000127440318
small,A-n37-k5.vrp,669.0,705.1682010333623,1.0540630807673577,0.0018543000041972846
small,A-n37-k6.vrp,949.0,979.6543504538735,1.0323017391505516,0.0021530000085476786
small,A-n38-k5.vrp,730.0,794.6656102779442,1.0885830277780058,0.00220239999180194
small,A-n39-k5.vrp,822.0,901.9900540917963,1.0973115013282193,0.0023804000084055588
small,A-n39-k6.vrp,831.0,882.5837337942723,1.0620742885610979,0.0022841000027256086
small,A-n44-k6.vrp,937.0,1020.8778047700205,1.0895174010352406,0.003100100002484396
small,A-n45-k6.vrp,944.0,1012.9172723402031,1.0730055851061473,0.0031294000073103234
small,A-n45-k7.vrp,1146.0,1199.9759634376967,1.047099444535512,0.003626100005931221
small,A-n46-k7.vrp,914.0,939.7435418657789,1.0281658007284233,0.003343199990922585
small,A-n48-k7.vrp,1073.0,1114.857814702284,1.039010078939687,0.003949100006138906
small,B-n31-k5.vrp,672.0,684.6089982427923,1.0187633902422504,0.001338500005658716
small,B-n34-k5.vrp,788.0,808.7426240970285,1.026323127026686,0.001658100009080954
small,B-n35-k5.vrp,955.0,980.4257165555686,1.0266237869691817,0.0022074000007705763
small,B-n38-k6.vrp,805.0,833.73607338778,1.035696985574882,0.0020997999963583425
small,B-n39-k5.vrp,549.0,568.8242504457515,1.036109745802826,0.0021778999944217503
small,B-n41-k6.vrp,829.0,899.9012987802317,1.0855262952716909,0.002697100004297681
small,B-n43-k6.vrp,742.0,762.6233702524737,1.0277942995316358,0.0029654999962076545
small,B-n44-k7.vrp,909.0,938.4465019702028,1.0323943916063838,0.0032384000078309327
small,B-n45-k5.vrp,751.0,757.1641652674421,1.008207943099124,0.0028400000010151416
small,B-n45-k6.vrp,678.0,729.8734591118883,1.0765095267136997,0.003051700012292713
small,B-n50-k7.vrp,741.0,749.5607584512968,1.0115529803661225,0.0034198000066680834
small,B-n50-k8.vrp,1312.0,1354.02636518271,1.032032290535602,0.005413499995484017
small,E-n13-k4.vrp,247.0,290.0,1.174089068825911,0.0002535999956307933
small,E-n22-k4.vrp,375.0,388.77228583912927,1.0367260955710114,0.0008145000028889626
small,E-n23-k3.vrp,569.0,576.4198114175737,1.0130400903648042,0.0006101999897509813
small,E-n30-k3.vrp,534.0,534.4482364968426,1.0008393941888438,0.0010916999890469015
small,E-n31-k7.vrp,379.0,1263.0,3.33245382585752,0.0015536999999312684
small,E-n33-k4.vrp,835.0,843.0977933340906,1.0096979560887314,0.0015712000022176653
small,F-n45-k4.vrp,724.0,730.2488116634198,1.0086309553362152,0.0029042999958619475
small,P-n16-k8.vrp,450.0,478.7711300654122,1.0639358445898048,0.0011115999950561672
small,P-n19-k2.vrp,212.0,237.89277234358858,1.1221357186018328,0.0004389000096125528
small,P-n20-k2.vrp,216.0,233.99511295328986,1.0833107081170827,0.00044380000326782465
small,P-n21-k2.vrp,211.0,236.18543149413827,1.1193622345693757,0.0005043000128353015
small,P-n22-k2.vrp,216.0,239.4991399931231,1.1087923147829772,0.0005545000021811575
small,P-n22-k8.vrp,603.0,590.6210234857078,0.9794710173892336,0.0018514999974286184
small,P-n23-k8.vrp,529.0,539.4753861721704,1.0198022422914375,0.0008456999930785969
small,P-n40-k5.vrp,458.0,518.3720297625708,1.131816658870242,0.0021063000021968037
small,P-n45-k5.vrp,510.0,573.3307371215328,1.1241779159245742,0.002660799989826046
small,P-n50-k10.vrp,696.0,739.837582073187,1.0629850317143492,0.00482860000920482
small,P-n50-k7.vrp,554.0,594.6712381517392,1.0734137872775076,0.004256500003975816
small,P-n50-k8.vrp,631.0,666.841499245342,1.0568011081542663,0.003924300006474368
small,VRPExemple.vrp,None,110.96164864969762,None,0.00012909999350085855
